Item,W,L,H,NW.,GW,Last update,Unit Pallet Type,Limitation of stacking (Qty),Weight Side Box,CBM.
DT115LL1S-2A,32.5,47,30,13.3320,13.3320,28/3/2024,Carton,5,14,0.046
DT18LL1S-4A,30,34,32,6.8140,6.8140,23/1/2026,Carton,,7,0.033
DT18LL1S-4AN,30,34,32,6.7750,6.7750,29/8/2024,Carton,,7,0.033
DT24LL1S-4A,30,34,32,6.8830,6.8830,11/7/2025,Carton,,7,0.033
DT24LL1S-4AN,30,34,32,6.8310,6.8310,29/8/2024,Carton,,7,0.033
DT32LL1S-4A,30,34,32,8.4660,8.4660,9/1/2025,Carton,,9,0.033
DT32LL1S-4AN,30,34,32,8.3770,8.3770,9/10/2025,Carton,,9,0.033
DT39LL1S-4A,32.5,47,30,12.4680,12.4680,29/8/2025,Carton,6,13,0.046
DT39LL1S-4AN,32.5,47,30,12.3450,12.3450,23/5/2024,Carton,,13,0.046
DT45LL1S-4A,32.5,47,30,12.6780,12.6780,29/8/2025,Carton,6,13,0.046
DT45LL1S-4AN,32.5,47,30,12.5560,12.5560,20/2/2025,Carton,,13,0.046
DT56LL1S-4A,32.5,47,30,13.2810,13.2810,29/9/2025,Carton,6,14,0.046
DT56LL1S-4AN,32.5,47,30,13.2400,13.2400,23/2/2023,Carton,,14,0.046
DT75LL1S-4A,42,70,38,27.0000,27.0000,26/6/2025,Carton,,28,0.112
DT75LL1S-4AN,42,70,38,26.4410,26.4410,20/2/2025,Carton,,28,0.112
DT91LL1S-4A,46,76,40,36.6050,36.6050,4/4/2024,Carton,,37,0.140
DT91LL1S-4AN,46,76,40,36.6300,36.6300,16/8/2023,Carton,,37,0.140
EQ7-2001-C,19,31.5,23,3.2600,3.2600,,Carton,,2.7,0.014
EQ7-2002-C,23.5,33,23.5,4.0800,4.0800,4/7/2023,Carton,,3.8,0.018
EQ7-2003-C,23.5,33,23.5,4.3950,4.3950,4/7/2023,Carton,,3.8,0.018
EQ7-2005-C,23.5,33,23.5,4.5080,4.5080,18/9/2024,Carton,8,3.8,0.018
EQ7-2007-C,31,37,34,8.4710,8.4710,18/9/2024,Carton,,8.1,0.039
EQ7-2010-C,31,37,34,8.4710,8.4710,18/10/2024,Carton,,8.1,0.039
EQ7-2015-C,31,37,34,8.6670,8.6670,13/12/2023,Carton,,8.1,0.039
EQ7-2020-C,31,37,34,8.1420,8.1420,18/9/2024,Carton,,8.1,0.039
EQ7-2025-C,35,50,33,13.7950,13.7950,13/11/2023,Carton,,11.3,0.058
EQ7-2030-C,35,50,33,13.7430,13.7430,5/9/2024,Carton,,11.3,0.058
EQ7-2040-C,35,50,33,14.3480,14.3480,29/1/2024,Carton,,11.7,0.058
EQ7-2050-C,49,80,53,36.0000,40.0000,4/3/2024,Carton Case,2,39.8,0.208
EQ7-2060-C,49,80,53,43.0000,45.0000,29/1/2024,Carton Case,2,45,0.208
EQ7-2075-C,50,87,46,53.0000,55.0000,29/1/2024,Carton Case,,56,0.200
EQ7-2100-C,53,130,53,72.0000,75.0000,14/2/2024,Carton Case,2,74,0.365
EQ7-2125-C,68,131,60,89.0000,106.0000,5/1/2021,Carton Case,,104.6,0.534
EQ7-2150-C,85,155,60,148.0000,158.0000,,Carton Case,,162.6,0.791
EQ7-4001-C,19,31.5,23,3.2380,3.2380,5/9/2024,Carton,,2.8,0.014
EQ7-4002-C,23.5,33,23.5,4.1470,4.1470,29/8/2023,Carton,,3.3,0.018
EQ7-4003-C,23.5,33,23.5,4.1750,4.1750,4/7/2023,Carton,,4,0.018
EQ7-4005-C,23.5,33,23.5,4.4850,4.4850,12/1/2024,Carton,,,0.018
EQ7-4007-C,31,37,34,8.5880,8.5880,16/10/2024,Carton,,7.2,0.039
