Item,42x46x68,42x46x68 Layer,47x66x68,47x66x68 Layer,57x64x84,57x64x84 Layer,68x74x86,68x74x86 Layer,70x100x90,70x100x90 Layer,80x120x65,80x120x65 Layer,80x120x90,80x120x90 Layer,80x120x115,80x120x115 Layer,110x110x65,110x110x65 Layer,110x110x90,110x110x90 Layer,110x110x115,110x110x115 Layer,RTN,RTN Layer,Wrap
DT115LL1S-2A,n,,1,,2,,4,,8,,n,,10,,15,,n,,12,,18,,18,,n
DT18LL1S-4A,1,,2,,4,,8,,12,,n,,16,,24,,n,,18,,27,,18,,n
DT18LL1S-4AN,1,,2,,4,,8,,12,,n,,16,,24,,n,,18,,27,,18,,n
DT24LL1S-4A,1,,2,,4,,8,,12,,n,,16,,24,,n,,18,,27,,18,,n
DT24LL1S-4AN,1,,2,,4,,8,,12,,n,,16,,24,,n,,18,,27,,18,,n
DT32LL1S-4A,1,,2,,4,,8,,12,,n,,16,,24,,n,,18,,27,,18,,n
DT32LL1S-4AN,1,,2,,4,,8,,12,,n,,16,,24,,n,,18,,27,,18,,n
DT39LL1S-4A,n,,1,,2,,4,,8,,n,,10,,15,,n,,12,,18,,18,,n
DT39LL1S-4AN,n,,1,,2,,4,,8,,n,,10,,15,,n,,12,,18,,18,,n
DT45LL1S-4A,n,,1,,2,,4,,8,,n,,10,,15,,n,,12,,18,,18,,n
DT45LL1S-4AN,n,,1,,2,,4,,8,,n,,10,,15,,n,,12,,18,,18,,n
DT56LL1S-4A,n,,1,,2,,4,,8,,n,,10,,15,,n,,12,,18,,18,,n
DT56LL1S-4AN,n,,1,,2,,4,,8,,n,,10,,15,,n,,12,,18,,18,,n
DT75LL1S-4A,n,,n,,n,,1,,3,,n,,n,,4,,n,,n,,4,,4,,n
DT75LL1S-4AN,n,,n,,n,,1,,3,,n,,n,,4,,n,,n,,4,,4,,n
DT91LL1S-4A,n,,n,,n,,n,,1,,2,,n,,4,,2,,n,,4,,4,,n
DT91LL1S-4AN,n,,n,,n,,n,,1,,2,,n,,4,,2,,n,,4,,4,,n
EQ7-2001-C,n,,n,,n,,n,,n,,n,,n,,n,,n,,n,,n,,n,,n
EQ7-2002-C,2,,4,,6,,18,,27,,n,,n,,40,,n,,n,,n,,n,,n
EQ7-2003-C,2,,4,,6,,18,,27,,n,,n,,40,,n,,n,,n,,n,,n
EQ7-2005-C,2,,4,,6,,18,,27,,n,,n,,40,,n,,n,,n,,n,,n
EQ7-2007-C,1,,2,,4,,6,,10,,n,,12,,n,,n,,n,,n,,n,,n
EQ7-2010-C,1,,2,,4,,6,,10,,n,,12,,n,,n,,n,,n,,n,,n
EQ7-2015-C,1,,2,,4,,6,,10,,n,,12,,n,,n,,n,,n,,n,,n
EQ7-2020-C,1,,2,,4,,6,,10,,n,,12,,n,,n,,n,,n,,n,,n
EQ7-2025-C,n,,1,,2,,4,,6,,n,,n,,12,,n,,12,,18,,12,,n
EQ7-2030-C,n,,1,,2,,4,,6,,n,,n,,12,,n,,12,,18,,12,,n
EQ7-2040-C,n,,1,,2,,4,,6,,n,,n,,12,,n,,12,,18,,12,,n
EQ7-2050-C,n,,n,,n,,n,,n,,n,,n,,n,,n,,n,,n,,n,,w
EQ7-2060-C,n,,n,,n,,n,,n,,n,,n,,n,,n,,n,,n,,n,,w
EQ7-2075-C,n,,n,,n,,n,,n,,n,,n,,n,,n,,n,,n,,n,,w
EQ7-2100-C,n,,n,,n,,n,,n,,n,,n,,n,,n,,n,,n,,n,,w
EQ7-2125-C,n,,n,,n,,n,,n,,n,,n,,n,,n,,n,,n,,n,,w
EQ7-2150-C,n,,n,,n,,n,,n,,n,,n,,n,,n,,n,,n,,n,,w
EQ7-4001-C,n,,n,,n,,n,,n,,n,,n,,n,,n,,n,,n,,n,,n
EQ7-4002-C,2,,4,,6,,18,,27,,n,,n,,40,,n,,n,,n,,n,,n
EQ7-4003-C,2,,4,,6,,18,,27,,n,,n,,40,,n,,n,,n,,n,,n
EQ7-4005-C,2,,4,,6,,18,,27,,n,,n,,40,,n,,n,,n,,n,,n
EQ7-4007-C,1,,2,,4,,6,,10,,n,,12,,n,,n,,n,,n,,n,,n
EQ7-4010-C,1,,2,,4,,6,,10,,n,,12,,n,,n,,n,,n,,n,,n
EQ7-4015-C,1,,2,,4,,6,,10,,n,,12,,n,,n,,n,,n,,n,,n
EQ7-4020-C,1,,2,,4,,6,,10,,n,,12,,n,,n,,n,,n,,n,,n
EQ7-4025-C,n,,1,,2,,4,,6,,n,,n,,12,,n,,12,,18,,12,,n
EQ7-4030-C,n,,1,,2,,4,,6,,n,,n,,12,,n,,12,,18,,12,,n
EQ7-4040-C,n,,1,,2,,4,,6,,n,,n,,12,,n,,12,,18,,12,,n
EQ7-4050-C,n,,n,,n,,n,,n,,n,,n,,n,,n,,n,,n,,n,,w
EQ7-4060-C,n,,n,,n,,n,,n,,n,,n,,n,,n,,n,,n,,n,,w
EQ7-4075-C,n,,n,,n,,n,,n,,n,,n,,n,,n,,n,,n,,n,,w
EQ7-40P5-C,n,,n,,n,,n,,n,,n,,n,,n,,n,,n,,n,,n,,n
EQ7-41000-C,n,,n,,n,,n,,n,,n,,n,,n,,n,,n,,n,,n,,w
EQ7-4100-C,n,,n,,n,,n,,n,,n,,n,,n,,n,,n,,n,,n,,w
EQ7-4125-C,n,,n,,n,,n,,n,,n,,n,,n,,n,,n,,n,,n,,w
EQ7-4150-C,n,,n,,n,,n,,n,,n,,n,,n,,n,,n,,n,,n,,w
EQ7-4200-C,n,,n,,n,,n,,n,,n,,n,,n,,n,,n,,n,,n,,w
EQ7-4250-C,n,,n,,n,,n,,n,,n,,n,,n,,n,,n,,n,,n,,w
EQ7-4300-C,n,,n,,n,,n,,n,,n,,n,,n,,n,,n,,n,,n,,w
EQ7-4350-C,n,,n,,n,,n,,n,,n,,n,,n,,n,,n,,n,,n,,w
EQ7-4450-C,n,,n,,n,,n,,n,,n,,n,,n,,n,,n,,n,,n,,w
EQ7-4500-C,n,,n,,n,,n,,n,,n,,n,,n,,n,,n,,n,,n,,w
EQ7-4600-C,n,,n,,n,,n,,n,,n,,n,,n,,n,,n,,n,,n,,w
EQ7-4700-C,n,,n,,n,,n,,n,,n,,n,,n,,n,,n,,n,,n,,w
EQ7-4800-C,n,,n,,n,,n,,n,,n,,n,,n,,n,,n,,n,,n,,w
EQ7-4900-C,n,,n,,n,,n,,n,,n,,n,,n,,n,,n,,n,,n,,w
FRN0001C2E-7E,24,,36,,60,,84,,120,,126,,168,,252,,159,,212,,318,,270,,n
FRN0001C2S-2A,24,,36,,60,,84,,120,,126,,168,,252,,159,,212,,318,,270,,n
FRN0001C2S-2U,24,,36,,60,,84,,120,,126,,168,,252,,159,,212,,318,,270,,n
FRN0001C2S-6U,24,,36,,60,,84,,120,,126,,168,,252,,159,,212,,318,,270,,n
FRN0001C2S-7A,24,,36,,60,,84,,120,,126,,168,,252,,159,,212,,318,,270,,n
FRN0001C2S-7E,24,,36,,60,,84,,120,,126,,168,,252,,159,,212,,318,,270,,n
FRN0001C2S-7U,24,,36,,60,,84,,120,,126,,168,,252,,159,,212,,318,,270,,n
FRN0001E2E-2GA,16,,24,,45,,63,,120,,n,,126,,210,,n,,159,,265,,225,,n
FRN0001E2E-7GA,16,,24,,45,,63,,120,,n,,126,,210,,n,,159,,265,,225,,n
FRN0001E2S-2GA,24,,36,,60,,84,,120,,126,,168,,252,,159,,212,,318,,270,,n
FRN0001E2S-2GB,24,,36,,60,,84,,120,,126,,168,,252,,159,,212,,318,,270,,n
FRN0001E2S-7GA,24,,36,,60,,84,,120,,126,,168,,252,,159,,212,,318,,270,,n
FRN0001E2S-7GB,24,,36,,60,,84,,120,,126,,168,,252,,159,,212,,318,,270,,n
FRN0001E3E-7G,16,,24,,45,,63,,120,,n,,126,,210,,n,,159,,265,,225,,n
FRN0001E3S-2G,24,,36,,60,,84,,120,,126,,168,,252,,159,,212,,318,,270,,n
FRN0001E3S-7G,24,,36,,60,,84,,120,,126,,168,,252,,159,,212,,318,,270,,n
FRN0002C2E-4E,12,,18,,22,,34,,66,,n,,96,,128,,80,,120,,160,,105,,n
FRN0002C2E-7E,24,,36,,60,,84,,120,,126,,168,,252,,159,,212,,318,,270,,n
FRN0002C2S-2A,24,,36,,60,,84,,120,,126,,168,,252,,159,,212,,318,,270,,n
FRN0002C2S-2U,24,,36,,60,,84,,120,,126,,168,,252,,159,,212,,318,,270,,n
FRN0002C2S-4A,12,,18,,33,,51,,66,,n,,96,,128,,80,,120,,160,,140,,n
FRN0002C2S-4A A,12,,18,,33,,51,,66,,n,,96,,128,,80,,120,,160,,140,,n
FRN0002C2S-4E,12,,18,,33,,51,,66,,n,,96,,128,,80,,120,,160,,140,,n
FRN0002C2S-4U,12,,18,,33,,51,,66,,n,,96,,128,,80,,120,,160,,140,,n
FRN0002C2S-6U,24,,36,,60,,84,,120,,126,,168,,252,,159,,212,,318,,270,,n
FRN0002C2S-6U A,24,,36,,60,,84,,120,,126,,168,,252,,159,,212,,318,,270,,n
FRN0002C2S-7A,24,,36,,60,,84,,120,,126,,168,,252,,159,,212,,318,,270,,n
FRN0002C2S-7E,24,,36,,60,,84,,120,,126,,168,,252,,159,,212,,318,,270,,n
FRN0002C2S-7U,24,,36,,60,,84,,120,,126,,168,,252,,159,,212,,318,,270,,n
FRN0002E2E-2GA,16,,24,,45,,63,,120,,n,,126,,210,,n,,159,,265,,225,,n
FRN0002E2E-4GA,12,,18,,22,,34,,66,,n,,96,,128,,80,,120,,160,,105,,n
FRN0002E2E-4GB,12,,18,,22,,34,,66,,n,,96,,128,,80,,120,,160,,105,,n
