PO,Case No,Type,SKU,Item Name,QTY,Dimensions,Note
11053473,1,Mixed Box,FRN0003E2S-7GB,"Inverter-FRN0003E2S-7GB",75,70x100x90,Best fit (136)
11053473,1,Mixed Box,FRN0003E2S-7GB,"Inverter-FRN0003E2S-7GB",20,70x100x90,Best fit (136)
11053473,1,Mixed Box,FRN0003E2S-7GB,"Inverter-FRN0003E2S-7GB",2,70x100x90,Best fit (136)
11053473,1,Mixed Box,FRN0003E2S-7GB,"Inverter-FRN0003E2S-7GB",1,70x100x90,Best fit (136)
11073336,1,Warp Pallet,FRN0840G2S-4G,"Inverter-FRN0840G2S-4G",1,89x185x62,Warp Item (has built-in pallet)
11073336,2,Warp Pallet,FRN0840G2S-4G,"Inverter-FRN0840G2S-4G",1,89x185x62,Warp Item (has built-in pallet)
11073336,3,Warp Pallet,FRN0840G2S-4G,"Inverter-FRN0840G2S-4G",1,89x185x62,Warp Item (has built-in pallet)
11073336,4,Warp Pallet,FRN0840G2S-4G,"Inverter-FRN0840G2S-4G",1,89x185x62,Warp Item (has built-in pallet)
11073336,5,Warp Pallet,FRN0840G2S-4G,"Inverter-FRN0840G2S-4G",1,89x185x62,Warp Item (has built-in pallet)
11073336,6,Warp Pallet,FRN0840G2S-4G,"Inverter-FRN0840G2S-4G",1,89x185x62,Warp Item (has built-in pallet)
11073336,7,Warp Pallet,FRN0840G2S-4G,"Inverter-FRN0840G2S-4G",1,89x185x62,Warp Item (has built-in pallet)
11073336,8,Warp Pallet,FRN1385G2S-4G,"Inverter-FRN1385G2S-4G",1,127x176x75,Warp Item (has built-in pallet)
11073336,9,Warp Pallet,FRN1385G2S-4G,"Inverter-FRN1385G2S-4G",1,127x176x75,Warp Item (has built-in pallet)
11073336,10,Mixed Box,FRN0072E3S-4G,"Inverter-FRN0072E3S-4G",21,110x110x115,Overflow split
11073336,10,Mixed Box,FRN0072E3S-4G,"Inverter-FRN0072E3S-4G",4,110x110x115,Overflow split
11073336,10,Mixed Box,FRN0018C2S-4A,"Inverter-FRN0018C2S-4A",1,110x110x115,Overflow split
11073336,11,Mixed Box,FRN5.5AR1L-4A,"Inverter-FRN5.5AR1L-4A",4,110x110x115,Overflow split
11073336,11,Mixed Box,FRN5.5AR1L-4A,"Inverter-FRN5.5AR1L-4A",11,110x110x115,Overflow split
11073336,11,Mixed Box,FRN5.5LM1S-4AA,"Inverter-FRN5.5LM1S-4AA",3,110x110x115,Overflow split
11073336,11,Mixed Box,FRN5.5LM1S-4AA,"Inverter-FRN5.5LM1S-4AA",7,110x110x115,Overflow split
11073336,11,Mixed Box,FRN0015LM2C-4A,"Inverter-FRN0015LM2C-4A",6,110x110x115,Overflow split
11073336,11,Mixed Box,FRN0018C2S-4A,"Inverter-FRN0018C2S-4A",1,110x110x115,Overflow split
11073336,12,Mixed Box,FRN0015LM2C-4A,"Inverter-FRN0015LM2C-4A",4,110x110x115,Overflow split
11073336,12,Mixed Box,FRN0015LM2C-4A,"Inverter-FRN0015LM2C-4A",40,110x110x115,Overflow split
11073336,12,Mixed Box,FRN0015LM2C-4A,"Inverter-FRN0015LM2C-4A",3,110x110x115,Overflow split
11073336,12,Mixed Box,FRN0020C2S-2A,"Inverter-FRN0020C2S-2A",1,110x110x115,Overflow split
11073336,13,Mixed Box,FRN0018C2S-4A,"Inverter-FRN0018C2S-4A",49,110x110x115,Overflow split
11073336,13,Mixed Box,FRN0018C2S-4A,"Inverter-FRN0018C2S-4A",10,110x110x115,Overflow split
11073336,13,Mixed Box,FRN0020C2S-2A,"Inverter-FRN0020C2S-2A",2,110x110x115,Overflow split
11073336,14,Mixed Pallet,FRN0018C2S-4A,"Inverter-FRN0018C2S-4A",19,110x110x115,Capacity limited (39/43)
11073336,14,Mixed Pallet,FRN0018C2S-4A,"Inverter-FRN0018C2S-4A",20,110x110x115,Capacity limited (39/43)
11073336,15,Mixed Box,FRN0008G2S-2G,"Inverter-FRN0008G2S-2G",1,57x64x84,Best fit (16.2% util)
11073336,15,Mixed Box,FRN0020C2S-2A,"Inverter-FRN0020C2S-2A",3,57x64x84,Best fit (16.2% util)
11074920,1,Warp Pallet,FRN0261G2S-4G,"Inverter-FRN0261G2S-4G",1,65x85x46,Warp Item (has built-in pallet)
11074920,2,Warp Pallet,FRN0261G2S-4G,"Inverter-FRN0261G2S-4G",1,65x85x46,Warp Item (has built-in pallet)
11074920,3,Warp Pallet,FRN0610G2S-4G,"Inverter-FRN0610G2S-4G",1,76x110x50,Warp Item (has built-in pallet)
11074920,4,Warp Pallet,FRN0376G2S-4G,"Inverter-FRN0376G2S-4G",1,65x110x50,Warp Item (has built-in pallet)
11074920,5,Warp Pallet,FRN0376G2S-4G,"Inverter-FRN0376G2S-4G",1,65x110x50,Warp Item (has built-in pallet)
