Date,Shipment,Mode,Product,SI QTY,QTY,Total Packages,Standard Total,Boxes Total,Warp Total,Returnable Total,Ratio Standard,Ratio Boxes,Ratio Warp,Ratio Returnable,110x110x115 QTY,110x110x90 QTY,110x110x65 QTY,80X120X115 QTY,80X120X90 QTY,80X120X65 QTY,42X46X68 QTY,47X66X68 QTY,53X53X58 QTY,57X64X84 QTY,68X74X86 QTY,70X100X90 QTY,27X27X22 QTY,53X53X19 QTY,WARP QTY,UNIT QTY,RETURNABLE QTY,Remark
04-01-2021,FAP,VESSEL,INVERTER,1,1,1,0,1,0,0,0.00,0.33,0.00,0.00,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,P & M
04-01-2021,FEF,AIRCRAFT,TEMPERATURE CONTROL,8,620,16,1,15,0,0,1.00,5.00,0.00,0.00,0,1,0,0,0,0,5,0,5,0,2,0,1,2,0,0,0,
05-01-2021,FEA NJ,AIRCRAFT,INVERTER,2,7,2,0,2,0,0,0.00,0.67,0.00,0.00,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,
05-01-2021,FEA NJ,VESSEL,INVERTER,4,114,7,3,4,0,0,3.00,1.33,0.00,0.00,0,0,0,1,2,0,2,2,0,0,0,0,0,0,0,0,0,
05-01-2021,FEA FRE,VESSEL,INVERTER,2,11,10,0,1,9,0,0.00,0.33,0.90,0.00,0,0,0,0,0,0,0,1,0,0,0,0,0,0,9,0,0,
05-01-2021,FEK,AIRCRAFT,TEMPERATURE CONTROL,1,7,1,0,1,0,0,0.00,0.33,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,
06-01-2021,FAP,AIRCRAFT,TEMPERATURE CONTROL,1,328,4,0,4,0,0,0.00,1.33,0.00,0.00,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,
06-01-2021,FEE,VESSEL,INVERTER,6,786,18,0,0,10,8,0.00,0.00,1.00,4.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,8,
06-01-2021,FEI,AIRCRAFT,INVERTER,9,266,23,4,7,12,0,4.00,2.33,1.20,0.00,2,2,0,0,0,0,3,0,0,0,3,1,0,0,12,0,0,
06-01-2021,FEID,VESSEL,INVERTER,11,163,11,0,11,0,0,0.00,3.67,0.00,0.00,0,0,0,0,0,0,7,0,0,1,2,1,0,0,0,0,0,
06-01-2021,FEI,AIRCRAFT,INVERTER,8,957,11,6,5,0,0,6.00,1.67,0.00,0.00,3,3,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,
07-01-2021,FEI,AIRCRAFT,INVERTER,2,5,5,0,0,5,0,0.00,0.00,0.50,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,
07-01-2021,FEI,VESSEL,INVERTER,29,978,66,19,24,23,0,19.00,8.00,2.30,0.00,7,12,0,0,0,0,6,0,0,5,5,8,0,0,23,0,0,
08-01-2021,FEI,AIRCRAFT,TEMPERATURE CONTROL,3,833,7,0,7,0,0,0.00,2.33,0.00,0.00,0,0,0,0,0,0,0,2,4,0,0,0,0,1,0,0,0,
08-01-2021,FAP,VESSEL,INVERTER,10,151,21,4,8,9,0,4.00,2.67,0.90,0.00,0,3,1,0,0,0,1,1,0,1,4,1,0,0,9,0,0,
11-01-2021,FEC,VESSEL,TEMPERATURE CONTROL,2,5801,16,9,7,0,0,9.00,2.33,0.00,0.00,9,0,0,0,0,0,2,0,5,0,0,0,0,0,0,0,0,
11-01-2021,FAP,VESSEL,INVERTER,13,124,26,4,9,13,0,4.00,3.00,1.30,0.00,1,3,0,0,0,0,1,0,0,1,3,4,0,0,13,0,0,
12-01-2021,FEA TWMC,VESSEL,INVERTER,1,1,1,0,0,1,0,0.00,0.00,0.10,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
12-01-2021,FAP,COURIER,INVERTER,1,13,1,0,1,0,0,0.00,0.33,0.00,0.00,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,
12-01-2021,FEF,AIRCRAFT,TEMPERATURE CONTROL,4,68,7,0,7,0,0,0.00,2.33,0.00,0.00,0,0,0,0,0,0,0,0,0,2,0,0,4,1,0,0,0,
12-01-2021,FEE,VESSEL,INVERTER,10,3336,116,0,5,68,43,0.00,1.67,6.80,21.50,0,0,0,0,0,0,0,0,0,0,3,2,0,0,68,0,43,
12-01-2021,FEA NJ,VESSEL,INVERTER,1,1642,25,24,1,0,0,24.00,0.33,0.00,0.00,0,0,0,11,13,0,0,1,0,0,0,0,0,0,0,0,0,
13-01-2021,FAP,COURIER,INVERTER,1,99,3,0,3,0,0,0.00,1.00,0.00,0.00,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,
13-01-2021,FEI,AIRCRAFT,TEMPERATURE CONTROL,3,1672,9,1,8,0,0,1.00,2.67,0.00,0.00,1,0,0,0,0,0,2,0,6,0,0,0,0,0,0,0,0,
13-01-2021,FEID,AIRCRAFT,INVERTER,2,12,2,0,2,0,0,0.00,0.67,0.00,0.00,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,
13-01-2021,FEID,VESSEL,INVERTER,20,253,21,2,18,1,0,2.00,6.00,0.10,0.00,1,1,0,0,0,0,8,5,0,0,4,1,0,0,1,0,0,
14-01-2021,FEC,VESSEL,INVERTER,2,61,3,2,1,0,0,2.00,0.33,0.00,0.00,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
